composition,Eg (eV),en_min,en_max,en_weighted_mean,en_spread,en_weighted_std
Hg0.7Cd0.3Te,0.35,,,,,
CuBr,3.08,1.9,2.96,2.4299999999999997,1.06,0.53
LuP,1.3,1.27,2.19,1.73,0.9199999999999999,0.45999999999999996
Cu3SbSe4,0.4,1.9,2.55,2.24375,0.6499999999999999,0.30967472854593736
ZnO,3.44,1.65,3.44,2.545,1.79,0.895
PtSb2,0.08,2.05,2.28,2.1266666666666665,0.22999999999999998,0.10842303978193728
ZnIn2S4,2.68,1.65,2.58,2.218571428571429,0.9300000000000002,0.41926563592713845
K2Cd3Te4,2.26,0.82,2.1,1.6788888888888889,1.2800000000000002,0.49273487223961293
K4Sn3Ce3S14,2.46,0.82,2.58,2.026666666666667,1.7600000000000002,0.7242850881309714
Pb6B2CrO12,1.8,1.66,3.44,2.9047619047619047,1.78,0.6348949597983309
InSb,0.22,1.78,2.05,1.915,0.2699999999999998,0.1349999999999999
Sr2Be2B2O7,8.0,0.95,3.44,2.553846153846154,2.49,1.0040497877751684
K2CuNbS4,2.82,0.82,2.58,1.9325,1.7600000000000002,0.7300642095048901
PrTe2,1.02,1.13,2.1,1.7766666666666666,0.9700000000000002,0.45726238516730083
BAs,1.46,2.04,2.18,2.1100000000000003,0.14000000000000012,0.07000000000000006
Ba4Ga4GeSe12,2.18,0.89,2.55,2.067142857142857,1.6599999999999997,0.6402465511492453
CuBr,2.94,1.9,2.96,2.4299999999999997,1.06,0.53
HgSe,0.07,2.0,2.55,2.275,0.5499999999999998,0.2749999999999999
AgIn5Te8,0.47,1.78,2.1,1.9735714285714288,0.32000000000000006,0.1505042544655961
Rb7Th2P6Se21,2.07,0.82,2.55,2.1302941176470584,1.73,0.680369645612795
TlS,1.37,1.62,2.58,2.1,0.96,0.48
CdS,2.5,1.69,2.58,2.135,0.8900000000000001,0.44500000000000006
Al2Se3,3.1,1.61,2.55,2.174,0.9399999999999997,0.46050407164323737
In2GeTe3,0.68,1.78,2.1,1.9783333333333335,0.32000000000000006,0.14380735570740308
BiSeBr,1.5,2.02,2.96,2.5100000000000002,0.94,0.3847943173523573
GaAs0.4P0.6,2.1,,,,,
K2AuPS4,2.63,0.82,2.58,2.0862499999999997,1.7600000000000002,0.7415008007413075
CsH3Se2O6,4.77,0.79,3.44,2.7608333333333337,2.65,0.8002234930873304
CsB3GeO7,5.76,0.79,3.44,2.75,2.65,0.8772209907809244
Pb0.97Sn0.03Te,0.3,,,,,
PtAs2,0.55,2.18,2.28,2.2133333333333334,0.09999999999999964,0.047140452079103
SnGa4S7,3.1,1.81,2.58,2.271666666666667,0.77,0.36687494084799827
Si3N4,5.1,1.9,3.04,2.551428571428571,1.1400000000000001,0.5641536916081487
Gd1.05Sc0.95Se3,1.2,,,,,
Cs2ZnGe3Se8,2.31,0.79,2.55,2.1185714285714283,1.7599999999999998,0.6137805231613698
CeO2,3.41,1.12,3.44,2.6666666666666665,2.32,1.0936584882351934
KAgAsS2,2.21,0.82,2.58,2.018,1.7600000000000002,0.6482098425664332
Mn11Si19,0.8,1.55,1.9,1.771666666666667,0.34999999999999987,0.16866304343934446
SrTe,3.73,0.95,2.1,1.525,1.1500000000000001,0.5750000000000001
Pb0.97Se0.97Sn0.03Se0.03,0.21,,,,,
LaCuOS,3.14,1.1,3.44,2.255,2.34,0.8616698903872643
AlSb,1.67,1.61,2.05,1.83,0.4399999999999997,0.21999999999999986
Tl2AuPS4,2.2,1.62,2.58,2.28625,0.96,0.40413294532863814
Cs3Sn3F2Cl7,2.96,0.79,3.98,2.555333333333333,3.19,1.0655569227195494
Cs1.13Cd1.13Bi2.87Se6,1.0,,,,,
AgI,3.02,1.93,2.66,2.295,0.7300000000000002,0.3650000000000001
PtSb2,0.11,2.05,2.28,2.1266666666666665,0.22999999999999998,0.10842303978193728
Hg0.1Zn0.9Te,1.83,,,,,
TlBiTe3,0.5,1.62,2.1,1.9880000000000002,0.48,0.1865904606350496
CuCl,3.24,1.9,3.16,2.5300000000000002,1.2600000000000002,0.6300000000000001
Pb0.92Sn0.08Se,0.06,,,,,
CdSe,1.75,1.69,2.55,2.12,0.8599999999999999,0.42999999999999994
Cu3SbS4,0.75,1.9,2.58,2.25875,0.6800000000000002,0.3245164672247004
GaAs,1.46,1.81,2.18,1.995,0.3700000000000001,0.18500000000000005
As2Te3,1.76,2.1,2.18,2.132,0.08000000000000007,0.03919183588453088
SrB6,3.68,0.95,2.04,1.8842857142857141,1.09,0.38142054566195205
GaN,3.25,1.81,3.04,2.425,1.23,0.615
Cd3As2,0.24,1.69,2.18,1.886,0.4900000000000002,0.24004999479275155
WO3,2.9,2.36,3.44,3.17,1.08,0.4676537180435969
EuYb2Se4,1.3,1.1,2.55,1.9428571428571428,1.4499999999999997,0.7017470909037219
Bi2Te2.4Se0.6,0.25,,,,,
Ge0.3Si0.7,1.0,,,,,
CuN3,4.17,1.9,3.04,2.7550000000000003,1.1400000000000001,0.4936344801571301
CdP4,1.05,1.69,2.19,2.09,0.5,0.19999999999999998
MnI2,4.4,1.55,2.66,2.29,1.11,0.5232590180780452
InSb,0.24,1.78,2.05,1.915,0.2699999999999998,0.1349999999999999
TmAs,1.18,1.25,2.18,1.715,0.9300000000000002,0.4650000000000001
CdS,2.6,1.69,2.58,2.135,0.8900000000000001,0.44500000000000006
Ga0.3As0.3Zn0.7Se0.7,1.93,,,,,
Cd4GdB3O10,3.8,1.2,3.44,2.6933333333333334,2.24,0.8535025873813545
Cd3P2,0.54,1.69,2.19,1.89,0.5,0.2449489742783178
